cloudlet_id,vm_id,status,exec_time,start_time,finish_time,length,cpu_cores
2,2,SUCCESS,63.2780,0.1000,63.3780,10533,2
1,1,SUCCESS,63.6300,0.1000,63.7300,10587,2
5,2,SUCCESS,70.5620,0.1000,70.6620,12340,2
8,2,SUCCESS,71.7820,0.1000,71.8820,12925,2
4,1,SUCCESS,73.4460,0.1000,73.5460,13032,2
7,1,SUCCESS,73.7760,0.1000,73.8760,13156,2
3,0,SUCCESS,86.6240,0.1000,86.7240,10801,2
0,0,SUCCESS,89.7220,0.1000,89.8220,11308,2
6,0,SUCCESS,90.5080,0.1000,90.6080,11486,2
9,0,SUCCESS,96.1140,0.1000,96.2140,14289,2
